source,string,TAXONOMY,rna_type,expert_db,heirarchy
RNAcentral,miRNA,10090,miRNA,miRBase,1
RNAcentral,pre-miRNA,10090,pre%20miRNA,miRBase,2
RNAcentral,rRNA,10090,rRNA,Ensembl,3
RNAcentral,tRNA,10090,tRNA,ENA,4
gencode,pc_transcripts,,pc_transcripts,,5
RNAcentral,snoRNA,10090,snoRNA,Ensembl,6
RNAcentral,YRNA,10090,Y%20RNA,Ensembl,7
RNAcentral,piRNA,10090,piRNA,PirBase,8
RNAcentral,lncRNA,10090,lncRNA,RefSeq,9
RNAcentral,snRNA,10090,snRNA,Ensembl,10
RNAcentral,vaultRNA,10090,vault%20RNA,Ensembl,11
gencode,genome,,genome,,12